Yeməyin Adı,Mənşə,Bölgə,Kateqoriya,Tərkib hissələri,Hazırlanma qaydası,Hazırlanma müddəti,Çətinlik dərəcəsi,Porsiya sayı,Tarixi məlumat/Arxa plan,Təqdim təklifləri,Şəkil Linki
Göyərti qutabı (kətə),Ümumi Azərbaycan,,Xəmir yeməyi,"Xəmir üçün: un – 4-5 st; yumurta – 1 ədəd; duz – 1 ç.q; ilıq su – aparanadək; sarıkök – zövqə görə. İç üçün: göyərti – 10 dəstə (keşniş, şüyüd, ispanaq, göy soğan, nanə, sarımsaq, cəfəri, turşəng, kəvər, cincilim və s.); duz – zövqə görə. Qutabın aralarına sürtmək və qızartmaq üçün: quyruq; kərə ya da bitki yağı. Üstü üçün: sumaq – zövqə görə; qatıq.",1) Unu bir qaba ələyib duzu səpib ortasına yumurtanı sındırın və suyu əlavə edib qaşıqla qarışdırın. 2) Sonra əliniz ilə normal xəmir yoğurun. 3) Xəmiri balaca hissələrə bölüb kündələyin. Üstünə salafan örtün qurumasın. 4) İçliyi hazırlayın: Göyərtiləri təmizləyib yuduqdan sonra xırda doğrayın. Doğranmış göyərtiyə duz səpib yaxşı qarışdırın. 5) Kündənin birini götürüb un səpib nazik yuxa yayın. 6) Yuxanın yarı hissəsinə içlikdən qoyub yayın. 7) Yuxanı iki qatlayın və yanlarını bərkidin. 8) Qazın ya da odun üstündə qızmış sacın üzərinə qoyub hər iki tərəfini qızardın. 9) Hər bir qutabı bişirib yığanda aralarına kərə yağı vurun.,60-90 dəq,Orta,4-6,Göyərti qutabı Azərbaycanın milli xörəklərindən biridir. Adətən yaz aylarında təzə göyərtilərlə hazırlanır.,"İsti halda, üzərinə sumaq səpilərək və yanında qatıqla təqdim edilir.",[resept.az saytından şəkil linki əlavə edin]
Gürzə,Ümumi Azərbaycan,,Xəmir yeməyi,Xəmir üçün: un – 2 st; yumurta – 1 ədəd; su – ½ st; duz – 1 ç.q (silə); duru yağ – 1 x.q; yaymaq üçün əlavə un. İçlik üçün: qiymə – 300 q; baş soğan – 1 ədəd; duz – zövqə görə; istiot – zövqə görə; əridilmiş kərə yağı – 2 x.q. Üstü üçün: sumax; əridilmiş kərə yağı; qatıq (zövqə görə sarımsaq).,"1) Ələnmiş unun üstünə yumurtanı, duzu və suyu əlavə edib normal xəmir yoğurun. 2) Adi qaydada qiyməni bişirib hazırlayın. 3) Xəmirdən iki kündə düzəldin. Az un səpib oxlovla yayın. Xəmir nə çox qalın nə də nazik olmasın. 4) Diametri 4 sm olmaqla dairələr kəsin. İçlikdən qoyub bükün. 5) Suyu qaynadırın. Suya 2 x.q duz əlavə edin. Qaynamağa başlayanda gürzələri tökün. Qaynayıb üstə çıxanda 5 dəqiqə kimi qaynadıb süzün. Suyun duzunu yoxlayın. Lazım olsa yenə əlavə edin. 6) Qablara yığıb üstünə əridilmiş kərə yağı töküb sumax səpin.",45-60 dəq,Orta,4-6,Gürzə Azərbaycanın milli mətbəxinin ənənəvi xəmir yeməklərindən biridir. Xüsusilə qış aylarında sevilən yeməkdir.,"İsti halda, üzərinə kərə yağı və sumax səpilərək, yanında qatıqla təqdim edilir.",[resept.az saytından şəkil linki əlavə edin]
İrəvan kətəsi,"İrəvan, Qərbi Azərbaycan",,Şirniyyat/Şorqoğal,Xəmir üçün: un – 3.5 st; kərə yağı – 200 q; xama – 200 q; sirkə – 1 x.q; soda – 1 ç.q; duz – ç.q ucunda (istəyə görə). İç üçün: un – 2 st; şəkər tozu – 1.5 st; kərə yağı – 100-125 q; vanil – 1 paket. Üzünə çəkmək üçün: yumurta – 1 ədəd.,"1) Un ilə kərə yağını ovun. 2) Xamanı əlavə edib qarışdırın. 3) Sirkə ilə sodanı qarışdırıb tökün. 4) Əlinizlə yumşaq xəmir düzəldin. 5) Xəmiri bir kənara qoyub içliyi hazırlayın: un ilə yağı ovun, şəkər tozunu və vanili əlavə edib qarışdırın. 6) Xəmiri 4 yerə bölüb kündələyin. 7) Xəmirin birini oval formada 2-3 mm qalınlıqda yayın. 8) İçlikdən töküb yayın. 9) Xəmiri oxlovla ya da əllə bükün, uclarını bərkidin. 10) Ağzı dilikli bıçaqla romb şəklində kəsin. 11) Bütün kündələri bu şəkildə hazırlayın. 12) Qaba kağız sərib yığın. Üzərinə yumurta çəkin. 13) 200-220 dərəcə qızdırılmış sobada üzü qızaranadək (20-25 dəqiqəyə) bişirin.",45-60 dəq,Orta,8-10,İrəvan kətəsi Novruz şirniyyatlarından biridir və Qərbi Azərbaycan mətbəxinin ənənəvi şirniyyatlarından sayılır.,İsti ya da soyuq çay ilə servis edin.,[resept.az saytından şəkil linki əlavə edin]
Kələkoş,Qərbi Azərbaycan,,Şorba,yağlı qatıq – 3 stəkan; un – 1 ½ xörək qaşığı; yumurta – 1 ədəd; soyuq su – 3 stəkan; yuyulmuş və süzülmüş yumru düyü – 1 xörək qaşığı; xırda doğranmış qoz – ½ stəkan; əzilmiş sarımsaq – 2 diş; quru nanə – 1 ½ xörək qaşığı; bitki və ya kərə yağı – 2 xörək qaşığı; orta baş xırda doğranmış soğan – 1 ədəd; duz; istiot.,"1) Bir kasada qatığı, unu, yumurta və suyu yaxşıca qarışdırın. 2) Sonra üzərinə düyünü, qozu, sarımsağı və quru nanəni əlavə edib yenə qarışdırın. 3) Bir qazanda yağı qızdırın və soğanı əlavə edib təxminən 6-7 dəqiqə qızardın. 4) Qatıqlı qarışığı soğanın üzərinə əlavə edin və taxta qaşıqla ara vermədən qarışdıraraq orta odda təxminən 20 dəqiqə və ya düyü yumuşalana qədər bişirin. 5) Kənara çəkin və üzərinə zövqə görə duz və istiot əlavə edib qarışdırın.",Təxminən 30-40 dəq,Orta,4,"Kələkoş Azərbaycan milli mətbəxinə aid, xüsusilə Qərbi Azərbaycanda geniş yayılmış ləzzətli şorbadır. Qatıq və qozun harmoniyası ilə seçilir.",Süfrəyə isti-isti verin.,[azcookbook.com saytından şəkil linki əlavə edin]
Kələm şorbası,Ümumi Azərbaycan,,Şorba,kələm – 1 kg; kərə yağı – 1 xörək qaşığı; soğan – 1 ədəd; kəvər soğanı – 200 qr; kök – 1 ədəd; un – 1/4 su stəkanı; qərənfil – 2 ədəd; krem – 2 xörək qaşığı; yağsız pendir rəndəsi; duz.,"1) Kələmi yarpaqlarını ayıraraq yuyun. İncə doğradıqdan sonra bir az qaynadın. 2) Bir qazana kərəyağını qoyub qızardın. Əvvəl incə incə doğradığımız soğanı, sonra yenə incə incə doğradığınız yaşıl soğanı da qızardırın. 3) Rəndələnmiş yerkökü və doğranmış kələmləri də əlavə edərək üzərinə un səpin. 4) Qarışığın üstünü örtəcək qədər su qoyduqdan sonra kəvər soğanı əlavə edərək şorbamızı 45 dəqiqə bişirək. 5) Ocaqdan götürməmişdən qabaq onu duzluyun. Yağsız pendirindən rəndələyin. 6) Şorbanı atəşdən götürüb, istiliyə dayanıqlı dərin bir qaba qoyun. Kasalara tökdükdən sonra şorbaların üzərinə yağsız pendir rəndəsini səpin. Arzuya görə üzərinə bir miqdar şüyüd qoyaraq süfrəyə təqdim edin.",60-120 dəq,Orta,4-6,"Kələm şorbası Azərbaycan mətbəxində geniş yayılmış, qidalı və ləzzətli şorbalardan biridir.","İsti halda, üzərinə yağsız pendir rəndəsi və şüyüd səpilərək təqdim edilir.",[dadli.az saytından şəkil linki əlavə edin]
Lobya buğlaması,İrəvan (Qərbi Azərbaycan),,Əsas yemək,təzə payız lobyaları; rəngli bibər (qırmızı bibər daxil olmaqla); ağ reyhan; soğan; qırmızı mövsüm pomidorları (4-5 ədəd 1 kq lobya üçün); pul bibər; kərə yağı; duz; tomat pastası (bir az).,"1) Təzə lobyaları doğrayın. 2) Qazana lobyaları, kərə yağını və suyu əlavə edin. Qızartmadan buğlama üsulu ilə bişirin. 3) Suyun çox hissəsi çəkilənə qədər bişirin. 4) Doğranmış pomidorları və bir az tomat pastasını əlavə edin. 5) Duz və pul bibər ilə dadlandırın. 6) Təzə doğranmış ağ reyhanı əlavə edib dərhal ocaqdan götürün.",Təxminən 60-90 dəq,Asan,Bilinmir,Lobya buğlaması İrəvan mətbəxinin ənənəvi yeməklərindən biridir. Buğlama üsulu ilə bişirilməsi və ağ reyhanın istifadəsi ilə xarakterizə olunur.,"İsti halda, bir qədər suyu ilə təqdim edilir.",[youtube.com saytından şəkil linki əlavə edin]
Lülə kabab,Ümumi Azərbaycan,,Kabab/Ət,qoyun əti (və ya mal əti ilə 50:50 qiymə) – 500 q; baş soğan – 200 q; qoyun quyruğu – 100 q; duz – zövqə görə; istiot – zövqə görə; sumax – zövqə görə; lavaş.,"1) 500 qram qiyməyə 200 qram soğan olmalıdır. Bu nisbəti gözləmək lazımdır, əks halda lülə şişdə qalmır. 2) Qiyməni yaxşı qarışdırın, 4-5 saatlıq soyuq yerdə saxlayın. 3) 15-20 dəqiqə əvvəldən qiymə soyuducudan çıxarılır və yenə yaxşı qarışdırılır. 4) Qiymə əllə gətirilir və şişin üstünə sarılır. 5) Lüləni sapla da bağlamaq olar. Amma süfrəyə verilməmiş sap açılır. 6) Od alovlananda onu əvvəlcədən hazırlanmış duzlu su ilə söndürün. 7) Süfrəyə lülə lavaşın arasında verilir. Üstünə sumax tökmək də olar.",60-90 dəq (soyutma müddəti daxil),Orta,2-3,Lülə kabab Azərbaycan mətbəxinin ən məşhur kabab növlərindən biridir. Xüsusilə açıq havada manqalda bişirilir.,"Lavaşın arasında, sumax səpilərək və təzə göyərtilərlə təqdim edilir.",[dadli.az saytından şəkil linki əlavə edin]
Mafiş,Ümumi Azərbaycan (Türk mətbəxində də geniş yayılmışdır),,Şirniyyat/Xəmir yeməyi,Yumurta – 1 ədəd; qatıq – 4 x.q; qabartma tozu – 1 paket; duz – 1 çay qaşığı; un – aldığı qədər. Qızartmaq üçün: duru yağ.,1) Hamur malzemeleri karıştırılarak ele yapışmayacak yumuşaklıkta bir hamur yapılır. 2) Hamur 1 cm kadar kalınlıkta açılır. 3) Bir rulo kesici ile kare kare kesilir. 4) Kızdırılmış yağda kızartılır. 5) İstenirse arasına peynir konulabilir.,20 dəq,Asan,2-4,"Mafiş, Azərbaycan və Türk mətbəxində geniş yayılmış, tez hazırlanan və ləzzətli bir xəmir şirniyyatıdır. Adətən səhər yeməyində və ya qəfil gələn qonaqlar üçün hazırlanır.","İsti halda, üzərinə pudra şəkəri səpilərək və ya pendir ilə təqdim edilir.",[nefisyemektarifleri.com saytından şəkil linki əlavə edin]
Ordubad Üsulu Maş Şorbası,"Ordubad (Naxçıvan, lakin Azərbaycan mətbəxinin bir hissəsi)",,Şorba,"quru maş lobya – 1 stəkan (230g), gecədən soyuq suya qoyulmuş; ərinmiş kərə yağı – 2 xörək qaşığı (30ml); doğranmış sümüksüz qoyun və ya mal əti – 500g (sümüklü ətdən də istifadə edə bilərsiniz); doğranmış orta boy baş soğan – 1 ədəd; tomat – 2 xörək qaşığı; su – 8 stəkan; duz – zövqə görə; istiot – zövqə görə; 2 və ya 4 yerə bölünmüş orta boy kartof – 4 ədəd; quru gavalı – 4 ədəd; quru nanə – 1 xörək qaşığı.","1) Maş lobyanı süzün və su doldurulmuş qazanda 15 dəqiqə ərzində qaynadın. Bu proses quru maşın tünd rənginin çıxması üçün edilir. Maşı süzün və yuyun. Kənara qoyun. 2) Qazanda yağı qızdırın. Əti qazana əlavə edib yağda təxminən 15 dəqiqə qızardın. Arada qarışdırın. 3) Soğanı da qazana əlavə edib 5 dəqiqə və yaxud soğan yumuşalana qədər bişirin. 4) Tomatı əlavə edib 1 dəqiqə taxta qaşıqla qarışdıra-qarışdıra bişirin. Zövqə görə duz, istiot vurun. Süzdüyünüz maş lobyanı əlavə edib üstünə 8 stəkan su töküb, qaynadın. 5) Qaynayanda, odun altını azaldın. Qazanın qapağını örtün. Şorbanı vam odda təxminən 1 saat 15 dəqiqə ərzində və yaxud ət və maş lobya bişənə qədər bişirin. 6) Kartof, quru gavalı, və quru nanəni də əlavə edib, kartof bişənə qədər bişirin. Bu şorba nə çox sulu, nə də çox qatı olmalıdır.",120-150 dəq,Orta,4-6,"Maş Şorbası Ordubad rayonunun ən məşhur yeməklərindəndir. Quru maş lobyadan və təzə maşdan (yaşıl lobya) istifadə olunur. Yayda təzə qoyun əti ilə, qışda isə qovurma ilə bişirilir.",İsti halda təqdim edilir.,[azcookbook.com saytından şəkil linki əlavə edin]
Paxlava,Ümumi Azərbaycan,,Şirniyyat,Xəmir üçün: un – 1 kq; yumurta – 3 ədəd; kərə yağı – 250 q; süd – 1 st; xama – 2 x.q; quru maya – 1 ç.q; duz – zövqə görə. İçlik üçün: qoz ləpəsi – 1 kq (və ya badam ləpəsi); şəkər tozu – 1 kq; hil – 1/3 ç.q. Yağlamaq üçün: kərə yağı – 400-450 q. Şərbət üçün: şəkər tozu – 2 st; su – 1 st. Üzü üçün: yumurta sarısı – 2 ədəd; badam ləpəsi (fındıq ya da qoz ləpəsi qoymaq olar).,"1) Xəmiri hazırlayın: Südü qaba töküb ilıq qızdırın. Yağı əridin. Mayanı ilıq suda qarışdırın 5-10 dəqiqə qalır köpüklənir. Unun ortasına yumurtanı, mayanı, südü, yağı, xamanı və duzu əlavə edin. Yumşaq xəmir yoğurun. Xəmirin üstünə neylon çəkib, dəsmal qoyub, ədyala bükün, 2 saat acımağa qoyun. 2) İçlik hazırlayın: Qozu tavada qovurub qabığını təmizlədikdən sonra qoz çəkən maşından keçirin. Çəkilmiş qozu şəkər tozu və hil ilə qarışdırın. 3) Şərbəti hazırlayın: Qaba suyu və şəkər tozunu əlavə edib qaynara düşən kimi 2-3 dəqiqə qaynadıb, götürün. 4) Xəmiri hər tava üçün 12 hissəyə bölün. İki kündəni böyük (ən alt və ən üst üçün) qalanlarını isə balaca kündələyin. Yuxanı (az) unla yayın. 5) Tavanı yağlayıb yuxanı sərin. Yuxaya yağ töküb yağlayın. Hər qata 1 stəkandan 1 barmaq aşağı içlik səpin. Yenə yuxanı sərib yağlayın. Bu şəkildə bütün qatları hazırlayın. Axırıncı qatı qoyduqdan sonra kənarlarını yaxşı düzəldin. 6) Xəmiri romb şəklində kəsin. Yarım saat saxlayın. Sonra yumurtalayıb ortalarına badam ləpələrini qoyun. 7) 180 dərəcə qızdırılmış sobada üzü az qızarana qədər bişirin. Sonra layları yağladığınız yağdan qalanını paxlavanı sobadan çıxarıb aralarına tökün. Dərəcəni 150 dərəcəyə qoyun. Üzü tam qızarana yaxın çıxarıb şərbətini tökün. Hər iki halda bıçaqla kəsilən yerlərlə bir də gedin ki, həm yağ həm də şərbət hər yana yaxşı yayılsın. Şərbəti tökdükdən sonra sobada 3-5 dəqiqə saxlayıb götürün. Paxlava ilıq olanda tavadan tək-tək çıxarıb başqa düz qaba aralı yığın.",180-240 dəq,Çətin,2 taba,"Paxlava Azərbaycanın Novruz bayramı süfrələrinin əsas şirniyyatlarından biridir. Qat-qat xəmirdən hazırlanan, qoz və ya badam içliyi ilə zənginləşdirilmiş şirin bir desertdir.",Çay ilə təqdim edilir. Paxlavanın üzünün parıltılı və gözəl olmağını istəyirsinizsə onda paxlavanın şərbətindən 3 x.q götürüb 1 x.q bal ilə əridib fırça ilə hazır olan isti paxlavanın üzünə çəkin.,[resept.az saytından şəkil linki əlavə edin]
Piti,Ümumi Azərbaycan (Şəki pitisinə bənzər),,Şorba,qoyun əti – 163 q (hər paya); noxud (iri) – 20 q (hər paya); quyruq – 20 q (hər paya); baş soğan – 15 q (hər paya); kartof – 150 q (hər paya); təzə alça – 20 q (yaxud quru alça – 10 q); zəfəran – 0.1 q (yaxud təzə pomidor – 50 q); quru nanə – 1 q; duz – zövqə görə; istiot – zövqə görə.,"1) Qoyun ətindən 55-80 qramlıq 2-3 tikə götürülür. 2) Noxud 4-5 saat soyuq suda isladılır. 3) Ət və noxud piti qabına qoyulub üstünə soyuq su tökülür (ümumi həcmi 0.6 litrə çatdırılır). 4) Zəif od üzərində tədricən bişirilir, əmələ gələn kəf xüsusi kəfkirlə arabir alınır. 5) Xörəyin hazır olmasına 30 dəqiqə qalmış kartof (bütöv şəkildə, orta ölçüdə), yuyulmuş alça və duz qatılır. 6) Bulyon qaynadıqdan sonra içinə iri kub şəklində doğranmış baş soğan salınır. 7) Xörəyin hazır olmasına 10-15 dəqiqə qalmış xırda doğranmış quyruq yağı, duz və ədviyyat vurulur. 8) 1 q zəfəran 120 q suda çay kimi dəmlənir və hər iki pay pitiyə bundan bir xörək qaşğı qatılır. 9) Vam odda bişirilmə davam edir.",90-120 dəq,Orta,1-2,Piti Azərbaycanın milli mətbəxinin ənənəvi yeməklərindən biridir. Şəki pitisinin bişirilmə qaydası ilə oxşarlıqları var. Saxsı qablarda bişirilir.,"Süfrəyə veriləndə üstünə narın doğranmış quru nanə səpilir. Yanına təmiz dərin boşqab, soyulmuş baş soğan və sumaq verilir. Yayda şabalıd, heyva və pomidor da qatılır.",[dadli.az saytından şəkil linki əlavə edin]
Qatlama,Ümumi Azərbaycan,,Şirniyyat,Yumurta – 1 ədəd; ilıq süd – ¾ stəkan; ilıq su – ½ stəkan; günəbaxan yağı – 4 x.q; üzüm sirkəsi – 1 x.q; aktivləşdirilmiş təzə maya – 5 qram; duz – ½ ç.q; un – təxminən 500 qram; əridilmiş kərə yağı; pudra şəkəri.,"1) Xəmiri hazırlayın: Bir qabda yumurta, ilıq süd, ilıq su, günəbaxan yağı, üzüm sirkəsi, aktivləşdirilmiş təzə maya, duz və təxminən 500 qram unu birləşdirin. Hamar bir xəmir yoğurun və isti yerdə acımağa qoyun. 2) Xəmir acıdıqdan sonra, xəmiri 7 bərabər hissəyə bölün. Hər hissəni çox nazik yayın. 3) Hər yuxanı əridilmiş kərə yağı ilə yağlanmış bir nimçəyə qoyun və üzərini yenidən əridilmiş kərə yağı ilə yağlayın. Bütün 7 qatı üst-üstə yığın və son qatı da yağlayın. 4) Yığılmış xəmiri enli zolaqlara kəsin. Hər zolağı barmaqlarınızın ətrafına bükün və sonra üzük şəklinə salın. 5) Şəkilləndirilmiş üzükləri 15-20 dəqiqə acımağa qoyun. 6) Bir qazanda kərə yağı və günəbaxan yağı qarışığını qızdırın və qatlamaları qızılı rəng alana qədər qızardın, qatların ayrılmasına kömək etmək üçün çəngəllə çevirin. 7) Hazır qatlamaları kağız dəsmal üzərində yağını süzün və isti halda üzərinə pudra şəkəri səpin.",90-120 dəq,Orta,7-10 ədəd,Qatlama Azərbaycan mətbəxinin ənənəvi şirniyyatlarından biridir. Xüsusilə bayramlarda və xüsusi günlərdə hazırlanan qat-qat xəmir şirniyyatıdır.,"İsti halda, üzərinə pudra şəkəri səpilərək çay ilə təqdim edilir.",[youtube.com saytından şəkil linki əlavə edin]
Qırxbuğum kətəsi,Qərbi Azərbaycan (Zəngəzur bölgəsi),,Xəmir yeməyi,"Xəmir üçün: un, süd, kərə yağı, şəkər, yumurta, maya, duz. İçlik üçün: qırxbuğum (yolot), əvəlik, göy soğan. Əlavə: xama (üzəri üçün), çiyə yağı (Zəngəzur bölgəsində).","1) Xəmir un, süd, kərə yağı, şəkər, yumurta, maya və duzla yoğrulur. 2) İçlik üçün qırxbuğum, əvəlik və göy soğan qarışdırılır. 3) Xəmir yayılır, içlik qoyulur və kətə forması verilir. 4) Sacda bişirilir. 5) Quru qırxbuğum istifadə edildikdə, gecədən xama və bir damcı südlə isladılır.",Bilinmir,Orta,Bilinmir,Qırxbuğum kətəsi Qərbi Azərbaycan mətbəxinin ənənəvi yeməklərindən biridir. Zəngəzur bölgəsində xitab adlanan oxşar yemək çiyə yağı ilə hazırlanır.,"İsti halda, üzərinə xama çəkilərək təqdim edilir. Çay ilə içilməsi tövsiyə olunur.",[youtube.com saytından şəkil linki əlavə edin]
Qovurma,Ümumi Azərbaycan,,Kabab/Ət,qoyun əti – 1 kq; quyruq yağı – 200 q; kərə yağı – 200 q; su – 1 stəkan; duz – zövqə görə.,"1) Ətləri çox da iri olmadan doğrayın. 2) Ətləri təmiz yuyub aşsüzəndən suyunu süzün. 3) Quyruq yağının bir hissəsini əti bişirəcəyiniz qazana doğrayın. 4) Hazırladığınız ətləri qazana yığıb ocağa alın. 5) Qazana bir stəkan su əlavə edin və yüksək atəşdə bişməyə qoyun. 6) Qaynamağa başlayan ətin üzərinə yığılan köpükləri bir kənara alın. 7) Köpükləri təmizlənən ət suyu tərtəmiz, duru olmalıdır. 8) Qaynayan əti aradabir diqqətlicə qarışdırın ki, ətlər əzilməsin. 9) Ətin suyu tamamən çəkildikdən sonra əti bir kənara alın. 10) Quyruq yağının qalan hissəsini də bir başqa qazana alıb ocaqda əridin. 11) Əriyən quyruq yağının içərisinə kərə yağını da əlavə edin. 12) Bişən ətləri quyruq yağının içinə alıb yüksək atəşdə qovurun. 13) Hazır olana yaxın duzunu əlavə edin. 14) Ətlər tamamən qızardıqdan və suyu çəkildikdən sonra hazır hesab olunar.",60-90 dəq,Orta,4-6,Qovurma Azərbaycan mətbəxinin ənənəvi ət yeməklərindən biridir. Qış üçün əti saxlamaq məqsədilə də hazırlanır.,"İsti halda, müxtəlif qarnirlər (plov, kartof) və ya soyuq halda qəlyanaltı kimi təqdim edilə bilər.",[dadli.az saytından şəkil linki əlavə edin]
